FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0000041	-3	-2	-1	3	1	1	0	0	0	-2	0	5	0	42	-5	0	0	-1	-1	16	-2	-4	-6	29	-11	30	-2	-2	0	1	1	1	-4	31	-1	-1	1	1	-2	5	-1	-5	2	0	2	0	0	0	1	1	0	0	1	2	-2	0	2	2	0	0	0	1	0	0	0	6	0	-5	1	1	1	-2	-2	0	0	0	0	1	0	0	0	-3	0	0	0	0	0	0	0
OG0000042	4	5	-6	2	7	13	-3	0	-1	-2	1	5	1	1	2	0	0	1	6	-2	-1	14	-2	-1	-1	-2	-2	-5	-1	6	1	1	-2	0	-2	-1	2	0	-3	-2	0	4	2	1	-2	0	7	4	1	3	5	1	6	6	0	0	1	5	0	0	0	0	0	0	0	0	0	3	0	0	0	-2	-1	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
OG0000043	4	6	-2	6	0	17	4	-3	0	0	0	1	5	1	1	1	0	2	1	0	-3	19	-1	0	-1	-1	-1	0	-3	6	-4	0	3	0	-1	-3	1	2	-4	-2	-3	1	2	0	0	0	6	3	1	1	9	1	2	3	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	0	-1	-2	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0
OG0000046	26	-2	-6	-2	19	17	-6	0	-4	4	2	3	2	6	1	-1	-1	0	2	1	-3	5	-1	-2	1	2	-2	-3	-2	6	-2	-1	0	0	-1	1	4	0	-1	-1	2	-2	0	-1	2	0	9	0	0	3	2	0	4	4	0	1	0	3	0	0	-2	0	-1	0	0	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000047	11	1	-3	12	-2	14	0	0	-1	-1	0	-1	8	2	0	0	-1	-2	11	1	2	5	3	1	-5	3	-2	0	0	0	0	-1	-1	0	-2	0	1	1	-1	0	0	1	1	0	3	0	5	1	0	1	2	0	-1	0	-3	0	0	4	0	0	0	1	-3	-1	4	5	0	3	0	0	0	-5	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000048	16	30	0	-13	12	30	0	0	2	-1	0	7	0	-2	2	1	0	0	2	1	-3	16	-1	-1	-2	-1	0	0	0	-1	-1	0	-1	-2	-1	3	2	1	-2	3	0	0	4	0	0	0	26	9	-1	-1	7	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
OG0000049	-2	-1	3	-1	0	4	16	6	9	1	-3	-1	4	-2	1	1	-2	-2	0	-1	-2	7	-1	-1	2	-3	-5	-2	-2	6	-2	0	0	-2	-6	3	2	3	-1	-3	0	0	0	0	6	0	-3	0	0	-1	9	6	2	-1	2	0	0	1	-1	0	-2	0	-1	0	0	1	0	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
OG0000050	-4	39	18	-3	-8	17	-8	-3	-3	4	3	0	28	-1	9	-1	-2	0	1	0	-3	13	-1	-1	-3	-3	-1	-1	0	4	0	2	0	-2	-1	2	-1	0	-1	-3	-3	0	0	1	-5	0	2	10	-1	-6	2	0	4	10	1	1	1	18	0	0	-3	0	-2	0	0	0	0	2	0	0	-1	-1	0	0	1	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0
OG0000051	2	7	-4	-1	2	25	-5	-1	-1	0	-1	2	5	1	0	-1	-1	0	-1	1	-2	12	-1	-1	-1	-1	0	-1	0	0	1	0	1	0	1	0	1	0	-1	1	-1	0	0	0	1	0	1	1	0	0	1	-1	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000053	17	-1	-11	5	19	30	19	0	0	-2	3	1	1	-1	0	-1	-2	-2	12	-1	-3	7	-2	-2	-1	6	1	-4	0	1	-1	-3	-2	4	0	-2	0	0	-2	2	-2	-3	3	0	0	0	13	3	2	8	12	1	-4	-2	0	0	0	1	0	0	-1	0	-3	-1	0	0	0	1	0	0	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000054	-1	9	-6	6	7	5	-3	4	-2	2	-1	0	3	2	0	0	-2	0	7	0	-4	10	-2	0	1	-3	-1	-2	-2	11	-2	0	0	-2	-1	-1	3	3	-3	-4	1	-3	6	0	0	0	6	9	2	4	3	1	9	5	0	0	1	1	0	0	0	1	-1	0	0	1	0	2	0	0	0	-1	0	0	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0
OG0000055	2	1	1	1	0	3	1	1	0	2	-3	0	0	4	3	3	-1	-1	1	0	-5	30	-2	-1	-3	0	-1	-2	-1	7	0	-1	0	0	0	-1	1	1	-5	-4	-3	2	1	0	0	0	2	2	0	0	4	2	6	5	0	0	0	1	0	0	0	0	1	0	0	1	0	4	0	0	0	-1	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
OG0000056	2	8	-15	26	4	22	25	-12	3	-1	4	0	-2	-5	9	-1	-4	-2	0	9	-3	6	-2	-2	-2	1	0	-5	0	7	-4	-5	3	2	-3	-2	8	10	-5	-8	-2	-8	9	7	11	0	9	7	2	9	11	2	-5	1	2	0	0	-2	0	0	0	0	-4	-1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	-3	0	1	-2	3	1	0	0
OG0000060	20	-12	-3	41	-3	17	-7	-4	-5	0	23	8	5	-1	-2	-1	-4	1	9	-1	1	1	-1	1	-1	2	-3	-4	14	1	-2	2	-3	-1	1	-2	-2	-1	2	0	0	2	1	2	-4	0	6	0	4	6	0	-2	0	3	1	5	0	13	-2	0	0	0	-1	0	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	-1	0	0	0	-1	0	0	1	0	0	0
OG0000062	25	6	-6	-8	25	21	-2	5	4	8	0	2	0	-10	3	10	-5	-4	24	-3	3	26	-8	1	-5	3	-3	-6	-2	9	-5	-3	0	-2	-7	3	8	3	-8	-9	1	3	-2	-1	20	0	21	4	1	2	10	1	8	2	5	1	0	1	0	0	0	3	-1	-1	2	2	0	11	0	0	-1	-6	-5	-1	0	0	0	-1	0	0	0	-1	-1	0	-2	2	1	0	0
OG0000063	1	-1	0	-1	2	2	-3	31	0	0	0	-6	66	0	-1	0	0	0	13	0	0	1	-2	4	-1	4	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	-2	0	0	0	0	2	-3	-2	0	0	5	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0
OG0000064	5	-1	1	0	3	1	-1	0	-2	1	1	5	4	0	1	0	0	0	4	1	-4	24	-2	-1	-1	-2	0	-4	0	3	-1	3	5	-5	-2	-1	-2	-1	-2	-2	-7	1	3	1	1	0	2	0	1	0	1	1	8	7	-1	0	1	7	0	0	0	1	0	0	0	0	0	4	0	0	-1	-1	-1	0	1	0	0	1	0	0	-1	0	-2	0	0	0	0	0	0
OG0000066	1	0	0	10	-2	17	0	-1	-1	0	-1	0	0	-1	5	0	0	0	6	0	0	6	-2	-2	1	-1	0	2	0	3	-2	1	1	1	0	0	0	1	0	0	0	0	-1	0	-1	0	1	1	1	0	0	-1	-2	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0	0	0	0	0	0	0
OG0000067	-3	7	-1	6	-1	4	-2	2	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	-1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
