Desc	Orthogroup	Acal	Aful	Aric	Aste	Bcal	Bgla	Bner	Cgig	Ctel	Cuni	Dcar	Dgyr	Dpol	Eand	Echl	Gaeg	Gmag	Hhan	Hman	Hmed	Hrob	Hrub	Lana	Lgig	Llon	Lluy	Mcal	Mcor	Mlig	Mmer	Mvul	Myes	Obim	Oida	Paus	Pcro	Pech	Pesc	Ppel	Rota	Rsoc	Rsor	Smed	Spha
(null)	OG0000081	19	19	26	48	9	19	5	13	9	32	11	7	14	10	20	12	18	37	20	12	10	13	18	17	32	17	11	16	15	12	21	9	13	69	14	12	9	45	26	47	20	38	32	10
(null)	OG0000083	19	11	16	18	11	13	21	43	31	21	7	6	16	11	11	27	32	12	2	2	7	22	19	26	15	34	27	25	9	21	21	13	10	36	4	13	54	48	38	18	11	12	6	6
(null)	OG0000085	15	14	6	9	6	11	22	8	16	13	11	7	9	21	11	9	11	24	13	11	20	11	15	13	19	15	5	7	20	9	28	5	13	19	12	10	11	8	21	10	15	10	14	9
(null)	OG0000086	7	12	24	22	11	11	5	11	14	14	21	10	14	26	11	10	22	13	21	11	23	19	11	10	20	16	12	15	10	12	44	8	13	26	10	16	9	14	14	24	23	23	21	8
(null)	OG0000087	16	14	52	53	20	16	7	14	11	13	28	3	23	32	7	11	15	56	21	6	8	19	16	13	15	13	19	10	16	26	20	11	6	27	13	33	11	13	15	45	33	42	44	2
(null)	OG0000088	13	9	12	12	3	11	13	29	10	18	7	8	45	34	11	11	23	22	20	13	16	23	24	17	21	9	22	12	6	43	33	22	12	35	25	10	12	8	25	13	6	9	6	7
(null)	OG0000090	4	4	14	26	4	5	9	5	4	7	24	13	13	20	6	9	9	6	16	10	29	7	15	7	26	13	11	7	14	5	30	6	14	5	10	9	6	13	9	25	13	17	18	9
(null)	OG0000091	13	18	10	7	3	11	10	12	12	24	7	9	15	28	11	12	14	14	17	9	18	10	17	12	22	19	13	16	2	13	45	12	15	51	11	9	11	13	17	10	6	8	8	8
(null)	OG0000092	8	8	34	27	10	10	15	15	10	6	31	8	18	15	4	13	26	82	10	11	4	26	12	9	16	3	24	17	6	41	21	25	9	10	6	12	1	39	11	52	21	41	1	6
(null)	OG0000094	18	26	11	10	10	16	6	28	15	32	7	3	20	18	17	17	24	23	7	4	10	16	20	14	22	15	22	26	1	23	36	14	22	44	8	11	4	10	24	12	6	8	20	12
(null)	OG0000095	24	19	22	23	8	10	12	18	64	27	4	13	27	53	33	17	50	90	11	4	10	59	18	12	9	42	20	20	27	33	33	33	10	57	10	38	12	55	19	21	11	27	6	7
(null)	OG0000097	5	10	25	21	10	8	4	3	2	10	31	3	5	24	5	3	9	17	14	11	13	10	3	6	7	3	3	6	20	5	42	3	11	21	4	9	1	2	7	28	20	24	33	10
(null)	OG0000098	30	19	20	25	15	17	5	16	10	29	20	9	8	31	20	18	37	63	5	4	8	40	17	26	40	10	23	26	14	25	31	20	36	30	12	58	8	17	26	34	21	28	16	6
(null)	OG0000099	18	16	9	11	11	12	11	26	13	20	16	12	16	11	11	15	33	18	11	6	5	32	11	12	18	7	31	6	13	25	18	17	12	29	2	29	8	12	17	20	13	21	13	6
(null)	OG0000100	29	34	29	35	27	24	5	14	11	35	23	3	15	11	16	30	34	36	9	6	4	24	33	23	3	48	26	21	0	19	18	17	26	57	9	0	27	22	29	39	26	34	0	11
(null)	OG0000101	12	24	21	22	10	13	11	11	11	21	15	5	14	10	12	13	11	17	6	8	5	15	14	10	17	12	13	14	19	13	22	12	8	29	9	10	9	10	10	28	16	22	12	9
(null)	OG0000102	41	36	36	45	9	13	21	10	29	31	38	6	15	7	17	16	19	17	8	5	3	27	13	13	11	9	19	10	9	34	8	11	9	45	7	14	8	66	24	59	14	54	6	5
(null)	OG0000103	10	23	28	38	12	18	8	11	17	12	29	7	12	13	17	12	13	13	10	9	7	19	13	13	14	10	15	11	15	11	10	9	8	59	8	8	8	27	10	44	27	30	12	8
(null)	OG0000105	9	6	34	35	20	8	9	18	18	7	31	20	19	11	10	12	17	22	11	8	10	16	21	13	23	11	17	12	15	26	20	12	22	23	16	8	12	24	18	38	15	35	7	12
(null)	OG0000106	15	21	25	29	26	17	18	10	11	20	21	11	13	31	20	15	13	69	6	7	9	15	17	8	16	40	9	12	20	7	17	10	6	26	10	8	8	8	16	37	21	45	11	2
(null)	OG0000107	7	5	19	14	20	8	8	12	9	8	5	5	32	3	13	0	22	20	4	1	4	21	16	19	10	0	16	15	3	19	2	11	5	12	9	11	0	24	14	22	8	15	8	4
(null)	OG0000108	16	25	13	11	5	14	13	7	17	17	11	7	12	6	18	25	33	12	8	4	4	26	10	40	15	7	16	29	34	22	8	11	23	73	10	22	13	18	22	13	16	16	61	11
(null)	OG0000111	10	9	13	20	9	10	3	19	8	16	18	8	12	20	11	11	17	15	16	8	16	12	7	12	10	17	9	15	13	9	29	11	10	25	6	11	7	9	16	21	20	20	6	5
(null)	OG0000113	9	12	2	2	5	6	8	31	13	8	1	8	33	19	12	12	26	46	14	8	7	21	22	19	18	22	16	26	7	27	26	17	11	7	20	6	21	25	35	7	1	8	4	10
(null)	OG0000114	47	19	18	44	25	17	22	15	17	17	27	5	24	26	17	7	32	63	7	4	8	29	7	11	14	6	18	14	27	21	19	13	28	20	12	14	9	24	33	35	11	22	7	16
(null)	OG0000115	13	21	48	63	24	5	21	18	25	16	42	26	12	37	11	15	25	19	22	21	21	27	23	13	0	27	14	15	66	19	56	20	9	53	10	31	16	13	20	67	44	58	59	4
(null)	OG0000116	20	19	6	10	6	8	18	11	12	29	3	9	18	11	12	7	27	65	9	10	14	41	11	9	22	12	17	19	22	15	24	19	20	33	8	23	13	41	12	9	5	10	5	12
(null)	OG0000118	8	13	3	5	7	15	16	24	22	12	5	7	20	14	9	29	36	23	11	14	11	42	36	17	18	16	39	12	27	18	21	19	32	18	14	14	14	25	26	5	4	5	15	3
(null)	OG0000119	9	5	30	35	18	7	22	27	82	15	12	10	65	9	13	18	23	17	5	4	30	18	44	34	15	57	27	10	7	50	19	14	35	9	16	6	51	32	31	37	34	27	4	9
(null)	OG0000120	19	14	10	12	4	13	6	15	34	13	5	9	16	5	10	16	31	25	7	6	9	25	7	14	22	15	15	14	10	20	12	15	14	26	8	8	9	26	23	23	14	23	14	10
(null)	OG0000121	11	14	10	14	6	10	11	8	6	17	9	9	13	26	10	8	11	13	15	17	17	10	14	8	33	11	11	8	36	10	48	7	10	32	8	25	5	6	28	15	17	19	26	8
(null)	OG0000122	10	15	8	8	15	8	24	30	10	10	6	2	36	5	10	7	21	29	1	1	1	46	13	20	1	3	38	12	4	25	9	15	10	10	5	2	4	24	23	2	1	2	2	7
(null)	OG0000123	18	25	9	20	1	31	14	18	52	21	8	27	38	11	15	24	49	28	10	12	34	32	22	24	41	10	34	38	16	46	17	13	17	34	17	7	7	32	35	14	8	11	2	7
(null)	OG0000124	4	6	12	25	15	2	7	4	2	6	15	3	7	21	4	4	28	7	15	17	11	15	3	12	7	8	7	3	19	8	44	5	5	14	4	9	2	3	22	28	17	24	42	3
(null)	OG0000125	12	16	24	31	14	11	8	19	9	15	19	9	16	23	14	17	24	18	15	8	20	27	9	14	22	7	17	15	6	28	40	14	8	47	8	7	5	10	14	29	16	30	7	7
(null)	OG0000126	9	16	16	13	5	10	10	9	15	17	10	8	11	17	11	9	11	11	6	7	16	10	10	12	18	13	10	11	27	7	25	10	10	25	9	13	8	8	15	12	11	10	31	9
(null)	OG0000127	9	7	10	21	13	14	9	9	18	16	6	7	10	10	7	9	22	19	5	4	19	21	11	9	19	10	13	9	27	10	29	13	11	21	11	11	6	27	8	19	8	14	7	8
(null)	OG0000128	15	9	14	13	11	43	19	42	4	13	14	7	36	16	11	13	12	29	8	2	9	13	47	5	8	92	20	24	20	35	8	12	9	18	36	8	55	36	11	23	12	13	1	5
(null)	OG0000129	4	13	37	24	13	14	6	13	8	17	15	10	8	19	9	9	7	6	9	9	9	6	7	10	5	11	13	12	12	14	33	7	7	30	10	2	7	11	4	44	19	30	11	7
(null)	OG0000130	6	10	48	45	24	5	9	14	13	8	40	10	8	25	7	5	9	6	16	9	17	6	9	7	23	11	10	5	13	12	38	7	5	11	9	7	12	19	10	50	35	49	16	3
(null)	OG0000132	13	15	17	24	6	10	11	9	11	15	23	7	14	22	9	12	20	28	13	8	10	13	9	12	19	15	6	15	14	14	29	9	15	38	8	17	14	11	21	23	24	22	3	10
(null)	OG0000134	8	12	19	23	8	9	8	12	7	14	18	7	9	13	11	12	15	11	7	6	7	17	11	9	17	5	15	7	15	21	13	11	9	18	9	16	7	11	9	24	14	24	15	6
(null)	OG0000136	5	5	3	4	6	4	3	3	3	7	2	2	5	10	3	4	3	6	9	5	11	4	4	3	8	6	5	3	6	2	15	2	3	12	7	3	4	3	5	5	3	6	6	3
(null)	OG0000137	12	7	6	9	19	13	11	23	15	13	7	11	11	17	12	21	14	21	7	9	13	21	9	10	24	25	12	10	28	11	22	10	9	15	11	13	15	17	15	13	3	7	24	8
(null)	OG0000138	5	6	38	30	3	13	22	22	18	5	30	9	38	37	2	37	40	18	11	10	10	41	15	9	5	44	27	39	0	47	30	16	9	1	11	0	31	1	15	54	26	32	0	7
(null)	OG0000139	23	11	2	4	10	7	18	45	13	20	9	19	45	10	18	9	14	32	2	3	2	19	41	10	39	12	45	31	6	38	13	18	13	13	36	1	11	45	20	7	23	14	0	14
(null)	OG0000141	11	12	17	17	9	11	7	11	8	14	10	9	14	19	10	13	15	15	10	9	10	16	13	13	22	10	10	10	23	11	22	18	10	15	12	12	10	9	16	21	17	20	13	11
(null)	OG0000142	6	8	8	8	4	8	4	14	9	10	9	9	21	15	8	14	21	13	9	4	9	18	13	13	11	8	12	10	9	15	18	10	5	15	5	6	5	7	13	10	7	9	3	9
(null)	OG0000143	8	9	12	18	7	7	9	5	8	15	8	5	8	19	5	7	7	9	8	8	11	5	9	7	10	9	6	7	10	5	29	7	6	35	6	14	5	7	10	10	8	8	16	5
(null)	OG0000144	9	9	38	39	10	12	15	14	13	11	19	4	20	16	10	15	11	10	14	7	53	14	11	12	19	13	13	9	25	14	34	12	12	16	9	7	9	14	18	47	27	37	18	4
(null)	OG0000145	17	40	5	9	10	53	11	20	14	17	8	4	23	10	23	19	32	79	0	1	3	26	19	28	24	38	30	39	0	47	20	12	27	40	18	0	2	27	12	7	4	5	12	2
(null)	OG0000146	17	10	12	20	0	15	25	8	56	11	8	5	16	3	20	14	19	53	1	2	0	25	59	9	11	21	16	26	0	60	12	30	9	24	7	4	4	15	10	3	12	2	0	3
(null)	OG0000147	2	2	2	5	0	1	2	4	2	5	1	2	4	3	5	2	2	8	3	4	3	2	5	3	6	1	2	2	0	3	3	2	4	5	3	1	1	2	5	4	4	2	4	6
(null)	OG0000148	4	5	4	6	3	7	4	8	7	7	3	0	12	10	4	6	9	20	7	5	13	7	3	5	5	4	9	9	2	15	13	4	7	8	3	8	2	10	10	6	3	4	4	6
(null)	OG0000150	13	13	15	16	18	28	18	17	18	16	16	11	37	14	17	20	31	34	10	10	14	18	16	17	6	28	21	25	14	31	14	17	4	23	12	7	17	46	35	31	18	15	7	2
(null)	OG0000151	15	5	6	8	18	13	8	21	6	9	6	2	19	13	9	7	10	20	1	0	3	13	9	22	7	5	14	8	18	20	21	11	4	22	13	6	2	31	16	11	8	13	0	3
(null)	OG0000152	10	12	16	28	0	15	1	20	20	16	12	18	11	57	10	9	25	15	1	2	3	21	11	11	6	2	16	17	6	42	23	11	7	32	6	2	2	22	22	45	13	22	4	6
(null)	OG0000153	11	10	7	13	10	11	11	11	6	8	11	7	10	14	10	11	10	18	15	9	8	11	13	4	11	12	9	12	22	18	8	8	7	16	9	13	9	9	11	17	11	18	17	8
(null)	OG0000154	12	21	11	20	5	13	1	13	13	23	7	4	35	30	12	11	13	10	7	7	9	12	8	13	16	18	24	16	0	12	46	14	11	27	7	6	2	25	11	19	13	14	8	4
(null)	OG0000156	13	15	21	22	24	19	4	22	18	20	20	13	19	25	13	8	22	10	6	2	8	24	38	8	13	20	16	10	17	18	25	16	4	45	19	11	19	40	10	28	15	29	13	1
(null)	OG0000157	6	4	11	13	15	5	11	10	22	4	8	14	4	12	2	6	18	8	11	3	12	14	10	4	7	9	12	4	14	4	24	6	6	6	11	14	6	43	10	15	13	19	14	1
(null)	OG0000158	9	6	17	19	6	4	4	12	7	8	8	6	12	6	9	9	11	9	3	3	3	10	11	9	8	5	15	9	7	16	8	10	4	6	7	5	2	14	12	16	10	9	3	0
(null)	OG0000159	27	48	1	3	1	31	0	16	16	32	1	12	4	2	11	13	17	34	1	1	1	9	10	7	29	12	10	67	2	53	3	18	4	42	11	1	4	24	10	2	2	2	1	3
(null)	OG0000160	15	18	0	0	13	15	7	23	14	19	0	8	16	26	15	16	22	28	10	4	8	24	9	15	14	11	12	18	18	16	29	14	9	30	7	7	4	28	26	0	0	0	2	6
(null)	OG0000161	5	6	10	19	5	5	11	7	7	6	4	6	8	9	4	8	5	7	6	5	6	5	7	12	11	6	5	6	19	9	11	5	6	9	7	3	8	6	11	24	13	21	5	6
(null)	OG0000162	15	17	7	6	2	19	5	36	12	21	7	7	16	51	22	13	20	31	12	14	20	26	16	9	15	21	14	27	9	11	72	9	12	28	5	5	11	22	20	10	4	9	4	16
(null)	OG0000164	4	3	18	19	7	3	12	10	11	3	16	4	6	9	3	7	9	17	4	5	6	25	9	15	6	6	20	7	4	5	8	18	1	3	11	3	7	17	16	20	7	12	8	1
(null)	OG0000165	9	9	26	34	9	12	8	6	17	5	35	1	12	8	10	8	11	16	15	7	6	7	7	11	12	0	8	3	18	8	10	4	7	14	8	20	2	11	10	40	34	34	40	4
(null)	OG0000167	6	9	6	9	14	6	5	11	12	13	5	6	10	11	7	8	8	16	8	8	6	9	11	16	20	6	11	7	14	10	16	8	7	18	10	6	6	7	12	13	10	11	5	7
(null)	OG0000168	7	16	14	14	0	17	9	23	15	15	11	3	8	7	9	15	16	52	6	3	5	9	4	3	12	7	23	6	2	49	9	11	2	35	2	3	23	20	8	25	6	16	7	1
(null)	OG0000169	10	5	30	37	15	9	11	13	8	3	24	9	47	17	4	9	13	26	5	3	5	11	7	6	15	31	16	7	44	5	27	12	6	16	3	24	12	18	14	51	25	49	34	3
(null)	OG0000170	13	10	21	29	2	8	11	16	20	13	10	8	21	9	15	12	27	51	6	5	4	53	20	8	16	21	21	13	11	23	12	18	9	17	8	10	10	29	7	23	18	24	8	4
(null)	OG0000171	31	20	9	21	10	18	24	12	18	16	6	8	10	11	19	8	22	44	1	1	0	23	21	8	7	14	16	15	9	23	6	18	6	25	14	15	4	18	10	18	8	18	0	2
(null)	OG0000172	12	3	7	5	6	5	1	5	12	9	6	3	6	5	3	25	55	5	1	1	6	12	12	11	14	12	13	10	11	4	12	16	10	14	7	3	14	28	5	8	5	8	7	7
(null)	OG0000173	3	7	5	2	5	6	3	6	22	5	3	8	6	13	6	6	5	18	10	3	8	7	14	11	12	4	8	2	13	15	21	6	6	10	3	10	2	5	3	4	5	5	3	2
(null)	OG0000174	9	9	15	12	6	8	9	7	7	10	10	9	7	9	7	10	8	6	11	6	10	7	8	7	19	8	7	7	13	8	10	7	7	21	8	7	5	7	7	18	13	14	14	5
(null)	OG0000175	13	11	10	23	8	8	14	13	14	14	33	3	8	10	11	19	28	16	2	2	1	20	20	5	7	17	16	10	12	39	14	24	3	20	7	13	14	15	12	26	14	17	5	4
(null)	OG0000176	5	5	17	18	13	5	7	3	9	6	12	5	5	5	3	2	6	2	1	3	4	4	4	11	7	9	2	10	13	7	7	2	14	12	4	11	12	5	2	13	12	14	15	5
(null)	OG0000178	12	0	1	0	0	10	5	18	38	0	0	0	10	16	5	10	3	17	3	0	13	6	3	14	11	9	6	4	8	16	22	8	10	2	3	15	6	25	9	0	0	0	0	6
(null)	OG0000179	12	12	7	9	7	12	5	10	13	15	5	6	10	22	13	12	18	15	6	5	13	24	15	8	17	19	8	11	26	15	27	12	10	15	20	15	18	13	16	11	7	9	9	7
