FamilyID	TaxonID	Count	Change	Pvalue
OG0000015	Hhol	35	7	0.0841915
OG0000015	Gmae	26	-2	0.674406
OG0000015	Rimm	38	10	0.0195233
OG0000015	Tcas	16	-6	0.0653272
OG0000015	Hazt	28	-9	0.0305454
OG0000015	Dmag	13	-4	0.164176
OG0000015	69	17	0	0.731424
OG0000015	Dgal	16	-1	0.774985
OG0000015	Tqin	37	7	0.0906761
OG0000015	Hame	45	6	0.127697
OG0000015	72	30	0	0.733775
OG0000015	58	30	1	0.271715
OG0000015	59	34	4	0.00922842
OG0000015	71	30	0	0.799063
OG0000015	74	23	0	0.792974
OG0000015	75	22	-1	0.692012
OG0000015	Ppol	52	16	0.00174923
OG0000015	66	39	0	0.803699
OG0000015	Tcal	44	6	0.16326
OG0000015	61	36	2	0.146873
OG0000015	65	39	1	0.519383
OG0000015	63	37	0	0.864541
OG0000015	Cqua	54	15	0.00060153
OG0000015	64	38	1	0.525562
OG0000015	Pchi	38	0	0.95185
OG0000015	68	17	-13	0.000111116
OG0000015	Pcla	28	-11	0.00440439
OG0000015	67	30	0	0.799063
OG0000015	70	17	0	0.709531
OG0000015	Dapu	17	0	0.923344
OG0000015	Dpul	15	-2	0.501516
OG0000015	73	23	-7	0.00128695
OG0000015	Iele	13	-10	0.00349018
OG0000015	Dmel	25	3	0.331756
OG0000016	Ptep	20	0	0.94282
OG0000016	Ebro	20	3	0.339097
OG0000016	47	20	0	0.775571
OG0000016	40	15	7	1.20914e-05
OG0000016	Tuco	30	15	7.92243e-05
OG0000016	Pcau	25	10	0.00341499
OG0000016	46	20	3	0.0259651
OG0000016	Nstr	22	2	0.532976
OG0000016	52	17	-2	0.153088
OG0000016	49	20	0	0.664289
OG0000016	Caug	35	13	0.00157596
OG0000016	41	15	7	1.1766e-09
OG0000016	42	28	13	0.000599165
OG0000016	Psam	62	34	3.89819e-08
OG0000016	Ppac	23	-5	0.334955
OG0000016	Anas	9	-10	0.000389668
OG0000016	60	27	4	0.07826
OG0000016	Popi	15	-4	0.271249
OG0000016	Dpte	7	-10	0.000654488
OG0000016	43	16	1	0.0447259
OG0000016	48	20	0	0.859763
OG0000016	44	22	6	0.0785591
OG0000016	Hexe	21	-1	0.95415
OG0000016	Rvar	32	10	0.0263777
OG0000016	45	17	1	0.0997435
OG0000016	Lpol	36	16	0.000110456
OG0000016	50	20	0	0.797476
OG0000016	54	22	1	0.298933
OG0000016	Cscu	23	3	0.349759
OG0000016	Dsil	13	-4	0.237702
OG0000016	57	22	1	0.406363
OG0000016	Dste	22	0	0.946712
OG0000016	Eaff	54	27	9.63312e-09
OG0000016	Znev	18	1	0.680482
OG0000016	62	20	-3	0.210967
OG0000016	53	21	1	0.145603
OG0000016	55	24	2	0.220692
OG0000016	Smar	17	-7	0.0599183
OG0000016	51	19	-1	0.384567
OG0000016	56	22	0	0.857237
OG0000016	Hhol	23	1	0.734498
OG0000016	Gmae	26	4	0.249656
OG0000016	Rimm	51	27	2.4715e-08
OG0000016	Tcas	12	-2	0.509039
OG0000016	Hazt	19	0	0.93392
OG0000016	Dmag	15	-2	0.511427
OG0000016	69	17	0	0.731424
OG0000016	Dgal	16	-1	0.774985
OG0000016	Tqin	31	9	0.0178434
OG0000016	Hame	25	5	0.0756527
OG0000016	72	22	0	0.693463
OG0000016	58	22	0	0.765231
OG0000016	59	23	1	0.269513
OG0000016	71	22	0	0.760143
OG0000016	74	17	0	0.754578
OG0000016	75	14	-3	0.0590814
OG0000016	Ppol	34	11	0.00641036
OG0000016	66	20	0	0.718292
OG0000016	Tcal	21	-6	0.12841
OG0000016	61	23	0	0.822349
OG0000016	65	20	0	0.848849
OG0000016	63	19	-1	0.49593
OG0000016	Cqua	17	-3	0.339911
OG0000016	64	20	0	0.853851
OG0000016	Pchi	24	4	0.15776
OG0000016	68	17	-5	0.119071
OG0000016	Pcla	19	-1	0.793514
OG0000016	67	22	0	0.760143
OG0000016	70	17	0	0.709531
OG0000016	Dapu	15	-2	0.501516
OG0000016	Dpul	16	-1	0.77258
OG0000016	73	17	-5	0.00634285
OG0000016	Iele	13	-4	0.224607
OG0000016	Dmel	10	-4	0.161782
OG0000017	Ptep	19	0	0.941309
OG0000017	Ebro	27	13	0.000458042
OG0000017	47	16	0	0.746623
OG0000017	40	11	3	0.0237766
OG0000017	Tuco	15	4	0.10758
OG0000017	Pcau	19	8	0.00719103
OG0000017	46	16	2	0.104072
OG0000017	Nstr	8	-8	0.00813397
OG0000017	52	18	-1	0.516225
OG0000017	49	19	0	0.658322
OG0000017	Caug	16	0	0.93536
OG0000017	41	11	3	0.000478907
OG0000017	42	13	2	0.400457
OG0000017	Psam	18	5	0.116203
OG0000017	Ppac	11	-2	0.706237
OG0000017	Anas	16	-3	0.362374
OG0000017	60	18	1	0.478677
OG0000017	Popi	22	3	0.339361
OG0000017	Dpte	13	-5	0.147735
OG0000017	43	12	1	0.0328779
OG0000017	48	19	3	0.0525344
OG0000017	44	13	1	0.653731
OG0000017	Hexe	14	1	0.597295
OG0000017	Rvar	13	0	0.820542
OG0000017	45	14	2	0.0140045
OG0000017	Lpol	45	26	1.18806e-08
OG0000017	50	19	0	0.791262
OG0000017	54	16	0	0.782708
OG0000017	Cscu	29	10	0.00749634
OG0000017	Dsil	15	-3	0.39899
OG0000017	57	16	0	0.836698
OG0000017	Dste	13	-3	0.385646
OG0000017	Eaff	19	1	0.681913
OG0000017	Znev	10	-6	0.0375206
OG0000017	62	19	1	0.51177
OG0000017	53	16	0	0.676539
OG0000017	55	16	0	0.864463
OG0000017	Smar	16	0	0.935957
OG0000017	51	19	0	0.735532
OG0000017	56	16	0	0.826931
OG0000017	Hhol	21	5	0.0972788
OG0000017	Gmae	16	0	0.936623
OG0000017	Rimm	18	2	0.467675
OG0000017	Tcas	17	1	0.65939
OG0000017	Hazt	20	1	0.677828
OG0000017	Dmag	15	-1	0.77081
OG0000017	69	16	0	0.723444
OG0000017	Dgal	14	-2	0.492788
OG0000017	Tqin	12	-4	0.226691
OG0000017	Hame	21	0	0.933
OG0000017	72	16	0	0.655033
OG0000017	58	16	0	0.723444
OG0000017	59	17	1	0.208307
OG0000017	71	16	0	0.718299
OG0000017	74	16	0	0.746623
OG0000017	75	16	0	0.868695
OG0000017	Ppol	31	13	0.000519521
OG0000017	66	21	0	0.724694
OG0000017	Tcal	18	0	0.934855
OG0000017	61	18	1	0.249761
OG0000017	65	21	1	0.373009
OG0000017	63	19	0	0.797642
OG0000017	Cqua	24	3	0.271635
OG0000017	64	20	1	0.373911
OG0000017	Pchi	18	-2	0.557329
OG0000017	68	16	0	0.921942
OG0000017	Pcla	23	2	0.445034
OG0000017	67	16	0	0.718299
OG0000017	70	16	0	0.701703
OG0000017	Dapu	17	1	0.619473
OG0000017	Dpul	16	0	0.92089
OG0000017	73	16	0	0.861721
OG0000017	Iele	17	1	0.674422
OG0000017	Dmel	17	1	0.65939
OG0000018	Ptep	17	-7	0.0598366
OG0000018	Ebro	21	5	0.113773
OG0000018	47	22	1	0.241838
OG0000018	40	21	13	3.00695e-11
OG0000018	Tuco	36	15	0.000423562
OG0000018	Pcau	45	24	1.81426e-07
OG0000018	46	21	5	0.000379399
OG0000018	Nstr	29	7	0.0772048
OG0000018	52	23	-1	0.566666
OG0000018	49	24	0	0.686409
OG0000018	Caug	33	11	0.00549873
OG0000018	41	13	5	5.23756e-07
OG0000018	42	16	3	0.26634
OG0000018	Psam	30	14	0.00124148
OG0000018	Ppac	10	-6	0.122087
OG0000018	Anas	21	-3	0.418461
OG0000018	60	24	0	0.904606
OG0000018	Popi	34	10	0.0123993
OG0000018	Dpte	11	-12	0.000518739
OG0000018	43	14	1	0.0388125
OG0000018	48	24	2	0.163687
OG0000018	44	16	2	0.455956
OG0000018	Hexe	11	-5	0.200012
OG0000018	Rvar	25	9	0.019829
OG0000018	45	16	2	0.0184386
OG0000018	Lpol	43	19	3.29241e-05
OG0000018	50	24	0	0.818483
OG0000018	54	21	0	0.815062
OG0000018	Cscu	26	2	0.555032
OG0000018	Dsil	28	5	0.156901
OG0000018	57	23	2	0.149615
OG0000018	Dste	38	15	0.000477647
OG0000018	Eaff	28	4	0.230933
OG0000018	Znev	13	-5	0.13259
OG0000018	62	24	-1	0.740058
OG0000018	53	21	0	0.710908
OG0000018	55	23	2	0.21056
OG0000018	Smar	25	2	0.54651
OG0000018	51	24	0	0.766129
OG0000018	56	20	-1	0.597102
OG0000018	Hhol	16	-4	0.286472
OG0000018	Gmae	21	1	0.721762
OG0000018	Rimm	28	5	0.16121
OG0000018	Tcas	15	-2	0.550121
OG0000018	Hazt	30	6	0.0938799
OG0000018	Dmag	22	2	0.43758
OG0000018	69	20	0	0.752819
OG0000018	Dgal	18	-2	0.540712
OG0000018	Tqin	20	-2	0.630022
OG0000018	Hame	23	0	0.936056
OG0000018	72	22	0	0.693463
OG0000018	58	23	0	0.770953
OG0000018	59	24	1	0.27879
OG0000018	71	22	0	0.760143
OG0000018	74	18	-1	0.431572
OG0000018	75	17	-1	0.652063
OG0000018	Ppol	41	16	0.000336095
OG0000018	66	23	0	0.736678
OG0000018	Tcal	22	-2	0.62058
OG0000018	61	25	1	0.323058
OG0000018	65	23	-1	0.622627
OG0000018	63	24	0	0.8242
OG0000018	Cqua	24	1	0.68503
OG0000018	64	24	0	0.868779
OG0000018	Pchi	30	6	0.0827967
OG0000018	68	20	-2	0.560954
OG0000018	Pcla	16	-7	0.0215668
OG0000018	67	22	-1	0.42637
OG0000018	70	20	0	0.73082
OG0000018	Dapu	15	-5	0.069023
OG0000018	Dpul	24	4	0.137639
OG0000018	73	19	-3	0.131869
OG0000018	Iele	18	-1	0.817252
OG0000018	Dmel	14	-3	0.349112
OG0000019	Ptep	25	3	0.373056
OG0000019	Ebro	28	12	0.00156185
OG0000019	47	19	0	0.769015
OG0000019	40	14	6	0.000142552
OG0000019	Tuco	28	14	9.24138e-05
OG0000019	Pcau	20	6	0.0546122
OG0000019	46	19	3	0.0227496
OG0000019	Nstr	13	-6	0.104953
OG0000019	52	21	-1	0.548294
OG0000019	49	22	0	0.675686
OG0000019	Caug	27	8	0.023028
OG0000019	41	13	5	5.23756e-07
OG0000019	42	15	2	0.440693
OG0000019	Psam	21	6	0.0833129
OG0000019	Ppac	12	-3	0.529356
OG0000019	Anas	12	-7	0.0188054
OG0000019	60	19	0	0.891699
OG0000019	Popi	24	2	0.539083
OG0000019	Dpte	16	-5	0.179905
OG0000019	43	14	1	0.0388125
OG0000019	48	22	3	0.0717329
OG0000019	44	16	2	0.455956
OG0000019	Hexe	14	-2	0.73479
OG0000019	Rvar	21	5	0.156539
OG0000019	45	16	2	0.0184386
OG0000019	Lpol	48	26	4.30444e-08
OG0000019	50	22	0	0.808682
OG0000019	54	20	1	0.277503
OG0000019	Cscu	26	4	0.244792
OG0000019	Dsil	20	-1	0.831175
OG0000019	57	19	0	0.852806
OG0000019	Dste	11	-8	0.0191493
OG0000019	Eaff	24	5	0.0983774
OG0000019	Znev	11	-7	0.0232156
OG0000019	62	19	0	0.897083
OG0000019	53	19	0	0.698008
OG0000019	55	22	2	0.200155
OG0000019	Smar	23	1	0.731866
OG0000019	51	22	0	0.754815
OG0000019	56	21	1	0.373009
OG0000019	Hhol	21	0	0.944813
OG0000019	Gmae	29	8	0.0333252
OG0000019	Rimm	28	6	0.0895936
OG0000019	Tcas	20	2	0.455792
OG0000019	Hazt	22	3	0.282022
OG0000019	Dmag	16	-2	0.523703
OG0000019	69	18	0	0.73896
OG0000019	Dgal	17	-1	0.781394
OG0000019	Tqin	13	-6	0.0673869
OG0000019	Hame	18	-1	0.790179
OG0000019	72	19	0	0.675262
