FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0001677	0.00010131	0.844853	0.031555	0.166317	0.0519122	0.348862	0.812246	0.0612892	0.192761	0.186512	4.97662e-14	0.0990692	0.321973	0.54561	0.5	0.5	0.113014	0.302217	0.306373	0.5	0.5	0.29404	0.25685	0.25685	0.757666	0.174976	0.747592	0.172189	0.5	0.5	0.5	0.5	0.0260573	0.295155	0.5	0.5	0.5	0.5	N/A	0.0739125	0.532741	0.808912	0.511843	0.00179302	0.524867	0.569261	0.549376	0.0551857	0.531961	0.583261	0.556629	0.598411	0.0444265	0.533527	0.102735	0.547931	0.552342	0.521663	0.528046	0.124555	0.53275	0.591374	0.531971	0.0258409	0.589085	0.532741	0.520856	0.231345	0.5	0.5	0.520856	0.512673	0.0997049	0.5	0.5
OG0001700	0.802113	0.464932	0.0115453	0.529986	0.758694	0.758694	0.482327	0.806653	0.463722	0.456579	9.77721e-05	1.65923e-18	0.0524469	0.452191	0.708276	0.29847	0.00514169	0.461006	0.465735	0.777957	0.777957	0.451618	0.407341	0.767208	0.757666	7.754e-05	0.376048	0.376048	0.234798	0.230674	0.656292	0.656292	0.229599	0.0164488	0.217531	0.435161	0.685154	0.685154	N/A	0.628017	0.532741	0.808912	0.511843	0.474606	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.187295	0.589085	0.596614	0.541929	0.553755	0.647973	0.562318	0.658521	0.560909	0.593446	0.589085	0.532741	0.540417	0.37527	0.521663	0.518423	0.540417	0.524867	0.621301	0.549376	0.195511
OG0001702	0.802113	0.237621	0.138499	0.758844	0.758694	0.758694	0.120701	0.718764	0.712842	0.708185	0.708185	0.70945	0.705355	0.705355	0.0263309	0.708276	0.711064	0.711064	0.714164	0.777957	0.777957	0.704987	0.677711	0.677711	0.668799	0.662125	0.659741	0.659741	0.651389	0.0639699	0.892569	6.2152e-19	0.707277	0.705814	0.697572	0.694586	0.685154	0.685154	N/A	0.0369129	0.516791	0.721361	0.505975	0.720052	0.512673	0.536616	0.525668	0.553797	0.511012	0.530407	0.520047	0.536616	0.51515	0.533527	0.569353	0.547931	0.552342	0.521663	0.528046	0.0437695	0.53275	0.591374	0.531971	0.550478	0.547931	0.516791	0.520856	1.37054e-05	0.625544	0.0104099	0.520856	0.512673	0.56728	0.525668	0.572775
OG0001706	0.713636	0.305666	0.00205716	0.732208	0.5	0.5	0.00665983	0.0612892	0.236613	0.79717	0.000366552	0.798328	0.794556	0.452191	0.456719	0.112483	0.234365	0.799796	0.0468825	0.777957	0.424768	5.5833e-06	0.816191	0.0127367	0.0240198	0.801312	0.470686	0.798887	0.749899	0.746553	0.743653	0.743653	0.548447	0.54629	0.832916	0.304846	0.822734	0.0796099	N/A	0.192412	0.532741	0.00621433	0.511843	0.0621816	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.624628	0.589085	0.0536568	0.560898	0.577343	0.30071	0.589047	0.708516	0.587133	0.630139	0.624521	0.547896	0.558771	0.469892	0.541929	0.535835	0.558771	0.536601	0.664949	0.571291	0.675517
OG0001751	0.237621	0.464932	0.0234613	0.533746	0.529781	0.0315038	0.482327	0.472678	0.463722	0.456579	0.0542449	0.23233	0.794556	0.452191	1.81376e-06	0.549913	0.799796	0.115589	0.465735	0.424768	0.777957	0.451618	0.407341	0.193418	0.757666	0.380304	0.376048	0.747592	0.62317	0.877916	0.0303821	0.443324	0.455174	1.49743e-09	0.697572	0.694586	0.685154	0.685154	N/A	0.628017	0.532741	0.0202682	0.511843	0.807776	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.0716446	0.589085	0.596614	0.541929	0.553755	0.647973	0.562318	0.658521	0.560909	0.593446	0.589085	0.532741	0.540417	0.00167053	0.0652201	0.609738	0.540417	0.524867	0.182273	0.525668	0.572775
OG0001757	0.305666	0.713636	0.5	0.5	0.5	0.5	0.321145	0.312519	0.304602	0.79717	0.00135099	0.5	0.5	0.5	0.29847	8.19041e-05	0.302217	0.302217	0.306373	0.777957	4.65128e-05	0.29404	0.25685	0.677711	0.244539	2.80254e-30	0.23195	0.23195	0.0859753	0.00255241	0.227136	0.656292	0.297126	1.20728e-08	0.0234826	0.104011	0.5	0.5	N/A	0.57148	0.516791	0.315977	0.505975	0.314235	0.512673	0.536616	0.525668	0.553797	0.511012	0.0154272	0.0299687	0.5	0.51515	0.533527	0.569353	0.547931	0.552342	0.521663	0.528046	0.0437695	0.53275	0.591374	0.531971	0.550478	0.547931	0.516791	0.520856	0.659307	0.521663	0.518423	0.520856	0.512673	0.56728	0.525668	0.107732
OG0001765	0.00539568	0.464932	0.5	0.5	0.5	0.5	0.0651755	0.124406	0.8014	0.79717	0.79717	0.458528	0.0524469	1.4432e-09	0.5	0.5	0.5	0.5	0.058163	0.0326155	0.825297	1.46357e-06	0.677711	0.677711	0.668799	0.662125	0.659741	0.659741	0.80097	0.469011	0.795303	0.795303	0.229599	0.452905	0.439937	0.784297	0.822734	0.289853	N/A	0.628017	0.532741	0.063097	0.511843	0.0621816	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.000726093	0.5	0.5	0.596614	0.541929	0.553755	0.0877102	0.562318	0.238602	0.531971	0.550478	0.547931	0.516791	0.540417	0.171682	0.560898	0.552296	0.540417	0.524867	0.621301	0.549376	0.0752954
OG0001767	0.00010131	0.335151	0.5	0.5	0.5	0.5	0.321145	0.000457935	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.306373	0.5	0.5	0.000317086	0.5	0.5	0.5	0.5	0.5	0.5	0.114138	0.647185	0.00177928	3.00556e-13	0.297126	4.10002e-06	0.5	0.5	0.5	0.5	N/A	0.00274023	0.516791	0.315977	0.505975	0.314235	0.512673	0.536616	0.525668	0.0799307	0.5	0.5	0.5	0.5	0.51515	0.0499998	0.5	0.5	0.552342	0.521663	0.528046	0.124555	0.53275	0.134758	0.5	0.5	0.5	0.5	0.520856	1.37054e-05	0.625544	0.609738	0.520856	0.512673	0.0997049	0.5	0.5
OG0001785	0.713636	0.305666	0.5	0.5	0.5	0.5	0.725253	0.244159	0.236613	0.230739	0.0542449	0.798328	0.794556	0.00460971	0.797253	0.0543031	0.799796	0.461006	0.465735	0.160123	0.825297	0.545064	0.0264085	0.00442607	0.330816	0.832941	0.830861	0.830861	0.661786	0.5	0.5	0.5	0.397734	0.00844853	0.595456	0.857363	0.0130273	0.213663	N/A	0.57148	0.516791	0.315977	0.505975	0.314235	0.512673	0.0186302	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.624628	0.589085	0.596614	0.0218935	0.577343	0.696514	0.589047	0.141296	0.610926	0.661581	0.655125	0.562302	0.558771	0.0605138	0.0323752	0.5	0.0315828	0.547895	0.700451	0.591564	0.71186
OG0001862	0.464932	0.464932	0.0411699	0.669236	0.758694	0.364739	0.482327	8.02503e-07	0.8014	9.77721e-05	0.456579	0.0550601	0.452191	0.794556	0.456719	0.456719	0.115589	0.799796	0.058163	0.0137839	0.218367	0.00925082	0.214971	0.0822926	0.87294	0.623678	0.620078	0.867215	0.5	0.5	0.5	0.5	0.0536638	0.0164488	0.787191	0.435161	0.685154	0.685154	N/A	0.628017	0.532741	0.12746	0.511843	0.474606	0.524867	0.569261	0.549376	0.599075	0.521661	0.558069	0.538897	0.569261	0.529615	0.563721	0.624628	0.589085	0.596614	0.541929	0.00197701	0.733971	0.0662162	0.224156	0.0959917	0.711955	0.704689	0.589025	0.540417	0.0280944	0.5	0.5	0.540417	0.524867	0.621301	0.549376	0.195511
