FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000036	-3	10	5	-1	3	3	4	-11	3	-2	1	0	-8	16	-11	23	4	9	-11	5	-2	2	2	-8	5	-1	1	2	1	5	-1	8	3	12	-5	-4	-1	-2	0	0	3	2	0	4	1	2	0	1	0	0	0	0	1	1	1	2	0	1	0	1	0	1	0	1	0	0	0	11	1	0	0	0	-5	0	-1
OG0000037	10	13	4	-4	-1	-1	12	-5	12	1	6	4	-4	-1	-3	3	-3	-1	-4	1	1	4	5	-4	1	-1	4	-2	7	-2	-2	1	-5	6	-2	0	0	-3	0	6	0	-2	0	-3	0	0	0	2	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-1	0	-1
OG0000039	28	11	1	-1	4	5	7	-1	-5	18	3	13	-24	37	-3	7	3	0	-6	-8	-1	18	2	16	4	-2	3	-9	-1	3	2	4	-1	-4	4	-3	-1	-4	0	11	4	-1	1	6	1	3	2	6	1	2	0	0	0	0	0	0	-1	0	0	-5	4	5	2	-1	-2	0	0	6	0	0	-2	-1	-2	-2	-2
OG0000040	7	5	24	0	1	6	6	-3	13	0	5	4	-3	-2	1	1	5	3	-4	9	0	2	0	1	0	0	0	0	0	0	2	0	-1	1	2	-2	0	-1	0	3	4	13	0	4	0	1	0	2	0	0	0	0	0	1	0	1	-1	0	0	2	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0
OG0000042	4	10	15	-4	-1	1	6	1	27	3	8	-2	-9	-2	-3	4	5	4	1	2	0	4	0	-6	1	0	2	2	-2	1	-1	-1	-4	6	-3	1	1	-2	0	3	2	4	0	0	1	2	1	1	0	1	-1	-1	0	1	0	1	0	0	0	1	0	-1	-1	0	0	0	0	-3	0	0	0	0	-2	0	-1
OG0000043	4	4	7	-4	1	3	1	-4	14	6	2	-2	-4	-2	-5	1	1	-1	2	3	-1	4	2	-2	0	-1	0	1	3	-1	-1	-2	4	10	-2	-4	8	-2	0	2	2	2	0	2	1	2	0	2	0	0	0	0	0	0	-1	0	2	1	0	1	0	-2	0	0	0	0	0	-2	0	0	1	0	0	0	1
OG0000044	4	4	18	-9	0	0	2	-3	12	1	9	10	-9	-1	-4	10	-7	3	5	-1	3	3	-1	-5	1	0	2	2	0	-1	-1	1	4	2	-3	-1	1	-4	0	2	1	2	0	-1	0	1	0	4	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	2	1	0	0	0	0	0	0	0	-2	0	0
OG0000045	-1	1	0	-1	0	0	1	-1	-1	-1	-1	0	-1	1	0	0	0	-1	-1	0	0	-1	-1	-1	0	-1	7	0	0	0	0	0	0	-1	-1	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	2	0	0	0	-1	0	0	0	0	0	0	0
OG0000046	3	8	12	-7	-3	1	2	-4	29	-3	12	3	-7	-6	-1	6	-2	17	-4	-3	-1	17	9	-14	4	9	7	1	-1	-1	-1	1	-2	-2	-2	-1	-1	-1	0	3	3	2	0	-1	2	4	0	2	0	0	0	-2	0	1	1	1	0	0	2	-2	4	5	-1	5	4	0	-1	0	0	0	0	0	-2	0	0
OG0000048	2	1	25	-3	-1	2	34	-9	10	2	5	-3	-8	-3	0	6	-2	-3	-1	0	-1	4	-3	4	0	-5	2	-1	-3	-6	10	14	17	10	-1	-2	-3	-2	0	1	5	11	0	1	1	0	0	0	0	0	-1	-1	0	0	1	0	2	0	0	-1	0	-2	0	-1	0	0	1	12	1	2	0	0	-4	-1	-2
