FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000049	0	0	-1	5	-3	-3	2	3	-5	0	-18	-2	14	1	50	-18	-6	10	-1	12	44	-8	-5	-11	9	12	3	11	-5	7	17	-10	-1	-9	22	-17	13	-10	18	-21	2	-4	-6	32	0	-1	-1	0	0	0	0	4	-2	-1	9	-1	1	7	2	3	0	1	1	1	2	16	-11	-6	10	2	6	1	2	1	2	0	0	-3	1	4	0	0	4	0	1	4	2
OG0000051	-5	4	4	-3	-2	1	5	6	-3	14	-5	-6	-4	20	7	-5	-10	3	22	0	24	-3	-5	-7	55	-4	-7	0	-9	6	0	-2	5	4	17	-7	17	-1	-3	-2	-9	-5	-2	17	0	0	7	0	0	1	0	6	8	2	2	-3	-1	6	3	2	0	1	-3	3	1	6	-5	-4	5	-1	-6	0	-2	-3	0	0	3	3	0	8	0	-3	-3	0	0	2	1
OG0000052	-3	6	10	13	6	-6	-4	-1	-1	1	-2	0	17	-2	8	1	4	20	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	14	0	0	-1	0	0	-2	0	0	0	1	0	0	2	0	0	11	-1	-3	0	0	-1	-2	0	-1	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0
OG0000053	-1	-2	-1	3	-2	0	-2	4	-10	14	5	3	0	6	35	-19	18	10	4	4	-1	-6	-2	-6	6	-3	-7	-7	16	0	0	-2	-1	3	35	-11	2	28	-17	2	0	-12	14	-2	0	-4	-4	0	0	0	0	6	1	0	6	1	0	1	1	1	0	0	11	-1	-3	0	-7	-3	1	0	-5	2	1	2	0	0	3	0	1	6	0	0	-6	0	0	0	1
OG0000054	-3	-1	1	0	-2	-1	1	-2	2	1	-4	3	6	10	-1	-7	1	0	-2	1	12	-1	-2	-2	5	3	5	1	10	-3	-2	-2	-3	10	0	-1	3	-1	-3	0	-2	-4	1	14	0	-2	0	0	0	0	0	1	0	1	2	0	1	1	0	-1	0	0	1	0	0	3	-4	-2	4	0	2	0	0	2	-1	0	1	2	0	0	0	-1	0	0	0	2	1
OG0000055	-4	0	3	2	-3	1	8	4	4	-3	1	-2	1	11	0	-3	-3	0	-4	2	27	4	-3	-7	3	-2	-1	0	3	3	0	0	-5	11	1	-1	0	0	-2	-2	-4	-2	0	16	0	0	8	0	0	1	0	2	1	0	2	0	0	1	1	1	0	0	-1	1	3	7	-1	-3	1	0	-2	0	0	1	0	0	1	1	0	0	0	1	1	0	0	2	1
OG0000056	-3	-1	2	-2	1	2	1	-3	-4	2	8	4	23	22	36	-17	6	16	25	1	3	-6	-5	-6	10	2	-11	21	44	-5	-1	-12	1	-2	-2	6	-1	-7	0	5	-5	-2	-1	2	0	-2	0	0	0	0	0	3	-4	0	14	3	2	1	3	2	0	1	8	-1	-5	1	-11	-5	-2	-1	-3	0	3	21	-6	-2	-5	-1	-1	1	0	-6	-1	0	-1	-1	0
OG0000060	-1	11	4	4	-3	-2	-1	0	0	0	-9	-5	49	13	37	-7	-11	3	16	15	-1	0	-3	-8	40	2	-5	-1	-2	3	-5	0	0	-4	2	1	5	0	1	-8	1	-1	6	8	0	0	1	1	0	-4	0	0	-6	0	5	0	1	2	3	3	0	0	-3	1	0	3	-4	-4	0	-2	-1	-2	-4	-3	0	0	0	-1	0	4	0	0	0	0	1	3	1
OG0000062	-2	-4	0	-1	-2	2	3	13	-2	-3	0	6	2	11	10	-8	-6	11	14	1	-2	-1	-5	-2	11	9	-5	-7	4	2	-3	2	-5	6	0	-3	3	-2	4	8	-3	-5	-1	1	0	-1	0	0	0	0	0	3	1	-1	3	0	0	0	1	0	0	0	1	0	-2	-1	-2	-2	0	0	1	-1	-1	-1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	0
OG0000064	-2	-1	-3	0	-2	3	6	4	-1	3	-1	2	0	8	-1	-5	0	-1	2	5	13	0	1	-5	-1	3	-1	-2	-1	1	1	0	-1	4	-2	0	0	1	0	-3	-2	1	4	7	0	0	1	0	0	0	0	1	2	0	1	0	0	1	1	0	0	1	0	1	1	5	-1	-2	0	0	0	0	-1	-1	0	0	1	1	0	-1	0	0	0	0	0	3	1
