FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000052	0	23	27	30	22	10	12	0	0	2	1	4	21	1	13	6	20	36	6	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	17	17	17	16	16	3	1	1	3	3	4	3	3	5	5	5	16	4	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0
OG0000053	5	0	1	5	0	2	0	21	7	31	28	26	23	30	60	6	54	46	28	25	20	8	9	5	30	16	12	22	45	27	27	25	28	32	71	25	38	58	7	26	24	12	39	23	10	6	2	2	2	2	2	16	17	17	22	23	23	23	24	25	25	25	36	24	21	21	14	11	24	24	19	26	27	29	27	27	29	29	30	36	36	30	24	24	24	24	25
OG0000054	2	4	6	5	3	4	6	6	11	10	6	14	17	21	9	3	12	11	8	14	25	5	2	2	20	20	22	18	27	11	12	12	15	28	16	15	19	14	12	15	13	13	19	32	7	5	5	5	5	5	5	8	8	9	10	10	11	11	11	10	10	10	11	10	10	13	6	4	15	15	17	15	15	17	14	14	16	18	16	16	16	15	15	15	15	17	18
OG0000055	6	18	21	20	16	20	27	17	17	10	15	12	15	27	17	14	13	16	14	30	55	24	14	10	19	12	13	17	20	19	16	16	13	29	18	16	17	18	17	17	15	19	22	38	10	10	18	18	18	19	19	12	13	13	14	14	14	15	16	17	17	17	16	18	21	28	20	17	16	16	14	16	16	17	16	16	17	18	17	17	17	18	19	19	19	21	22
OG0000056	3	5	8	4	7	8	7	4	3	9	36	34	53	51	67	14	46	56	56	28	30	9	5	4	34	22	9	68	91	15	17	6	18	15	16	24	17	4	10	15	4	6	7	10	8	6	6	6	6	6	6	11	7	7	25	28	30	26	29	31	31	32	40	31	26	27	15	10	24	23	20	23	26	47	20	18	18	17	17	18	18	11	10	10	9	8	8
OG0000060	5	19	12	11	0	1	2	0	0	0	2	7	61	29	56	12	5	19	36	38	22	16	9	4	53	12	5	1	0	8	0	5	8	4	15	14	18	9	10	1	11	12	20	22	6	6	7	8	7	3	3	6	0	0	11	11	12	13	16	19	19	19	16	20	20	23	16	12	13	11	10	9	5	2	5	5	9	8	9	13	13	9	9	9	10	13	14
OG0000062	7	5	9	8	7	11	12	27	11	10	16	22	18	28	27	9	12	29	31	15	12	12	6	9	27	26	12	6	17	16	11	16	9	20	13	10	16	12	18	22	10	7	11	13	10	9	9	9	9	9	9	13	14	13	16	16	16	16	17	17	17	17	18	17	15	14	13	11	16	16	17	15	14	13	14	14	14	14	14	13	13	14	14	14	13	12	12
OG0000064	7	9	7	10	8	13	16	16	11	15	10	13	11	21	12	8	14	13	17	26	34	15	14	8	11	15	11	8	9	12	12	11	13	18	10	12	12	14	13	10	11	17	21	24	9	9	10	10	10	10	10	10	12	12	11	11	11	12	13	13	13	14	14	15	16	21	15	13	12	12	12	12	11	10	11	11	13	14	13	12	12	13	13	13	13	16	17
OG0000066	24	41	53	41	21	64	69	10	20	9	36	11	36	12	52	1	7	9	15	5	8	8	4	4	81	18	17	18	16	18	20	17	10	14	54	5	36	30	26	15	33	28	21	32	10	20	40	40	40	42	44	12	12	12	16	18	18	16	16	15	12	11	10	11	9	8	8	6	21	21	19	21	20	19	19	19	21	17	22	25	25	24	24	24	25	26	26
OG0000068	10	31	28	21	28	28	37	43	27	22	11	14	16	31	19	14	9	9	13	21	33	13	12	13	27	14	7	19	19	13	15	13	14	25	16	14	16	14	14	17	17	14	19	23	10	13	25	25	25	27	27	14	23	23	15	15	15	15	15	15	15	15	12	15	16	20	15	14	16	16	13	16	16	17	15	15	16	17	16	16	16	16	16	16	16	17	17
OG0000069	13	32	39	26	31	33	36	16	18	12	17	13	11	24	9	8	3	13	14	43	70	18	11	11	27	11	7	15	16	12	9	12	12	10	12	11	17	14	12	13	17	16	16	29	10	14	29	29	29	30	30	12	14	14	13	13	13	13	13	13	13	13	11	15	20	34	18	15	13	13	11	13	13	14	12	12	13	12	13	13	13	14	15	15	16	17	18
OG0000070	13	26	31	19	19	35	35	6	6	24	27	11	54	11	42	4	16	47	76	17	29	4	2	2	41	6	2	75	35	24	20	51	16	14	42	26	26	27	26	22	23	23	25	36	10	13	24	24	24	25	26	12	11	12	18	20	21	19	19	21	21	22	25	23	19	20	9	6	22	22	11	24	29	37	29	30	24	20	24	27	27	25	25	25	25	26	27
OG0000072	8	25	26	15	20	24	25	26	18	20	23	14	19	29	20	14	17	21	23	27	30	19	15	14	46	12	10	13	17	14	14	15	25	32	44	23	42	14	26	17	20	37	33	81	10	11	20	20	20	21	21	14	18	18	17	17	17	18	19	19	19	19	19	20	21	24	19	17	20	20	16	20	18	17	16	16	24	26	24	30	30	23	25	25	26	34	37
OG0000073	7	18	18	22	20	15	20	25	11	10	9	10	12	15	10	8	11	13	9	42	65	27	20	15	13	10	11	11	11	10	10	10	13	18	13	13	13	11	10	9	9	11	15	19	10	10	17	17	17	17	17	11	13	12	11	11	11	11	11	12	12	13	13	15	22	34	22	20	11	11	11	11	11	11	11	11	12	13	12	12	12	11	11	11	11	12	13
OG0000074	6	4	6	2	3	3	8	19	7	17	15	14	18	13	20	6	26	32	18	21	27	15	5	16	38	12	9	33	53	20	15	8	21	27	31	15	26	23	16	15	9	12	17	39	9	7	5	5	5	5	5	12	13	13	15	15	15	16	16	17	17	18	23	18	18	20	16	14	19	19	15	20	21	29	18	17	20	21	20	22	22	19	17	17	17	18	19
OG0000075	19	30	34	25	28	23	36	40	31	17	10	10	14	31	23	7	8	12	8	34	37	19	15	8	16	19	16	14	11	13	6	9	14	16	7	14	9	10	11	10	11	12	14	25	10	16	26	26	26	27	27	13	22	22	13	13	13	13	14	14	14	14	12	15	18	25	17	15	13	13	15	12	12	12	11	11	12	13	12	11	11	12	12	12	12	13	14
OG0000076	15	23	35	23	22	19	41	22	16	7	6	10	10	16	11	5	8	17	12	27	52	20	15	12	34	14	3	20	31	31	22	16	14	26	29	22	21	19	14	13	18	21	25	29	10	14	24	24	24	25	25	11	13	12	12	11	11	13	13	13	13	14	13	15	18	25	18	16	17	17	13	18	20	22	21	21	19	19	19	21	21	19	18	18	19	21	22
OG0000078	5	7	7	5	6	7	5	2	7	9	10	10	11	16	14	4	10	16	12	21	31	8	7	4	14	12	13	8	12	12	11	10	10	15	16	11	21	11	9	11	11	17	9	29	7	6	6	6	6	6	6	8	7	7	10	10	10	11	11	11	11	11	12	11	12	17	10	8	12	12	12	12	11	11	11	11	12	12	12	14	14	12	12	12	12	14	14
OG0000079	10	17	23	9	15	20	23	20	38	23	23	15	19	30	14	12	13	19	16	21	22	9	10	9	22	19	11	23	16	19	18	12	13	22	18	15	21	17	16	16	16	14	17	32	10	11	16	16	16	17	17	14	20	23	16	16	16	16	16	15	15	15	15	15	15	17	12	11	17	17	16	17	17	18	17	17	17	17	17	17	17	17	17	17	17	18	19
OG0000080	5	8	11	27	6	12	32	5	5	2	0	6	21	3	10	2	38	20	3	23	17	13	15	8	20	7	0	6	13	19	4	4	8	9	8	8	8	22	12	5	34	15	16	48	6	7	13	13	13	13	13	6	5	5	7	7	7	7	7	8	8	10	18	10	12	15	12	12	8	8	6	8	8	8	8	7	9	9	9	9	9	13	14	15	18	20	21
OG0000081	9	26	48	11	20	38	47	15	32	12	5	14	18	32	45	7	9	17	9	10	21	10	20	12	37	13	10	12	14	11	13	9	17	26	13	12	18	16	19	20	19	19	32	69	10	12	25	26	25	27	28	12	15	17	13	13	13	14	15	15	14	14	13	14	14	14	13	14	15	15	13	15	14	14	13	13	16	18	16	15	15	18	20	21	22	27	31
OG0000083	11	16	18	7	11	12	18	9	6	13	21	4	19	15	48	6	54	34	31	11	21	7	2	2	12	10	6	21	16	27	43	13	26	38	22	27	32	25	19	11	13	11	21	36	10	11	13	13	13	13	13	11	10	10	14	14	14	15	16	19	19	20	30	19	16	16	10	6	16	16	12	19	20	19	22	22	22	25	22	24	24	21	19	18	18	19	20
OG0000085	6	6	9	11	15	10	10	20	14	10	22	12	15	19	8	7	11	15	16	21	28	20	13	11	24	13	9	9	9	5	8	5	13	21	11	9	11	7	15	11	11	14	13	19	9	9	10	10	10	10	10	11	13	13	12	13	13	12	12	12	12	13	13	14	16	19	16	14	12	12	12	12	10	10	8	8	12	14	12	11	11	12	13	13	13	14	14
OG0000086	11	24	22	21	23	23	24	10	21	16	5	10	11	20	14	10	9	16	14	26	44	23	21	11	13	13	8	12	14	12	11	8	10	14	19	10	22	15	7	11	11	12	14	26	10	12	20	20	20	21	21	11	13	15	11	11	11	12	13	14	14	15	14	16	19	24	19	18	12	12	11	12	12	12	11	11	12	12	12	14	14	12	12	12	12	13	14
OG0000087	20	52	53	28	33	42	45	16	44	33	7	13	16	15	13	3	11	13	11	32	20	8	21	6	56	6	2	26	23	19	14	11	13	15	19	11	15	10	16	7	16	14	13	27	10	18	36	37	36	37	37	12	20	26	12	12	12	12	12	12	12	12	12	12	13	17	12	12	14	14	8	14	15	18	15	15	14	14	14	14	14	14	14	14	14	15	15
OG0000088	3	12	12	7	6	9	13	6	6	10	13	25	24	21	8	8	12	9	10	34	33	16	20	13	22	12	7	43	45	22	29	22	17	25	23	11	23	12	13	11	11	9	18	35	8	7	9	9	9	9	9	9	8	8	14	15	16	14	14	13	13	13	12	14	17	23	17	17	17	17	13	19	24	31	24	24	18	19	18	18	18	15	14	14	14	15	17
OG0000090	4	14	26	24	13	17	25	14	18	9	9	10	15	26	13	13	6	13	4	20	30	29	16	10	6	14	9	5	13	11	5	6	7	9	7	9	9	7	4	6	5	4	7	5	9	9	17	17	17	17	17	10	12	12	11	11	11	11	12	12	12	12	11	12	16	19	18	16	9	9	10	8	8	8	8	8	8	8	8	8	8	7	6	6	6	6	6
OG0000091	3	10	7	7	6	8	10	2	8	9	10	11	17	22	13	9	11	19	12	28	45	18	17	9	14	15	8	13	15	13	12	12	12	17	10	12	14	16	13	11	11	18	24	51	7	6	8	8	8	8	8	8	7	7	11	11	11	12	13	13	13	14	14	15	18	24	17	15	13	13	12	13	13	13	13	13	13	13	13	12	12	14	15	15	16	21	23
OG0000092	10	34	27	31	21	41	52	6	1	12	15	6	12	16	39	8	1	3	10	15	21	4	10	11	82	9	6	41	18	24	15	25	9	11	26	13	26	17	8	4	10	8	6	10	10	13	28	28	28	30	31	10	8	8	12	12	12	13	13	13	12	11	5	11	11	13	9	9	17	17	12	17	19	22	20	20	15	13	15	18	18	13	9	9	9	9	9
OG0000094	10	11	10	7	6	8	12	1	20	11	6	8	20	22	10	3	4	15	15	18	36	10	7	4	23	22	12	23	20	22	28	14	14	24	16	17	24	26	18	17	16	26	32	44	9	9	9	9	9	9	9	10	9	11	11	11	11	12	12	11	11	11	10	12	13	17	11	9	17	17	17	18	19	20	20	20	19	19	19	19	19	21	21	21	22	26	28
OG0000095	8	22	23	4	11	27	21	27	6	38	12	10	18	9	55	13	12	42	64	53	33	10	11	4	90	10	7	33	27	20	18	33	12	19	59	17	50	20	24	33	10	19	27	57	10	10	15	15	15	16	16	14	18	18	16	15	15	19	20	24	24	25	25	27	26	32	17	13	24	23	15	23	24	26	24	24	23	20	24	32	32	24	24	24	24	26	28
OG0000097	10	25	21	31	20	24	28	20	33	9	4	4	3	7	2	3	1	3	2	24	42	13	14	11	17	11	10	5	5	3	3	3	6	7	10	3	9	6	5	5	8	10	10	21	7	10	21	21	21	22	22	7	14	15	6	5	5	6	6	6	6	6	4	7	12	20	12	12	7	7	8	7	5	5	4	4	7	7	7	7	7	7	7	7	8	10	11
OG0000098	15	20	25	20	21	28	34	14	16	58	5	12	17	40	17	9	8	10	10	31	31	8	5	4	63	36	6	25	8	23	16	20	26	26	40	18	37	26	30	20	17	19	29	30	10	14	22	22	22	23	23	13	18	22	14	13	13	16	16	15	14	14	12	14	15	21	11	8	22	22	21	22	20	19	20	20	24	25	24	27	27	24	24	23	23	24	25
OG0000099	11	9	11	16	13	21	20	13	13	29	11	2	11	18	12	12	8	7	13	11	18	5	11	6	18	12	6	25	16	31	26	17	12	17	32	15	33	6	18	11	12	16	20	29	10	11	14	14	14	15	15	11	14	16	11	10	10	11	11	11	11	11	9	11	11	12	9	9	14	14	12	16	18	19	20	20	16	15	16	21	21	14	15	15	15	17	18
OG0000100	27	29	35	23	26	34	39	0	0	0	5	9	33	3	22	3	27	48	11	11	18	4	9	6	36	26	11	19	15	26	14	17	23	29	24	30	34	21	29	16	24	34	35	57	9	18	28	28	28	29	29	9	0	0	11	11	12	12	12	13	13	14	24	13	12	13	9	8	19	19	19	20	19	18	19	19	23	24	23	26	26	24	26	26	27	33	35
OG0000101	10	21	22	15	16	22	28	19	12	10	11	9	14	17	10	5	9	12	11	10	22	5	6	8	17	8	9	13	14	13	11	12	10	10	15	13	11	14	12	12	13	24	21	29	10	11	18	18	18	19	19	11	12	12	11	11	11	11	11	10	10	10	10	10	10	12	8	8	12	12	10	12	12	12	12	12	12	11	12	12	12	13	14	14	15	19	20
OG0000102	9	36	45	38	14	54	59	9	6	14	21	7	13	11	66	6	8	9	29	7	8	3	8	5	17	9	5	34	15	19	10	11	13	24	27	16	19	10	41	17	13	36	31	45	10	13	34	34	34	35	37	11	10	10	12	12	12	12	12	13	12	12	10	12	10	9	7	7	13	13	10	15	16	18	15	14	17	17	17	19	19	18	23	23	23	29	30
OG0000103	12	28	38	29	27	30	44	15	12	8	8	8	13	14	27	7	8	10	17	13	10	7	10	9	13	8	8	11	12	15	11	9	13	10	19	12	13	11	10	17	18	23	12	59	10	14	28	28	28	29	29	10	11	11	11	11	11	11	11	11	11	11	10	11	11	11	10	10	11	11	10	11	11	11	11	11	12	12	12	13	13	13	15	16	17	21	22
OG0000105	20	34	35	31	15	35	38	15	7	8	9	16	21	23	24	20	12	11	18	11	20	10	11	8	22	22	12	26	19	17	18	12	13	18	16	12	17	12	9	10	8	6	7	23	10	16	28	28	28	28	29	11	11	10	14	14	14	15	15	15	15	15	13	15	14	14	12	11	16	16	16	16	17	19	16	16	15	15	15	15	15	12	10	10	10	10	10
