Desc	Orthogroup	Acar	Ajap	Amis	Anja	Arub	Asin	Bbom	Bbuf	Blan	Cint	Clup	Cmil	Cpic	Cpla	Cpor	Cser	Ctig	Drer	Ebur	Emac	Ggal	Ggan	Gser	Hsap	Lcha	Leri	Mdom	Muni	Npar	Oana	Pann	Pmeg	Psin	Pwal	Rbiv	Rtem	Sbom	Skow	Sorb	Spur	Tcar	Tgut	Ttru	Xlae	Xtro
(null)	OG0003889	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1
(null)	OG0003890	1	3	0	2	1	1	1	1	1	1	0	0	1	1	0	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0003891	0	0	2	0	0	2	4	2	1	0	2	2	2	2	1	2	1	2	1	2	1	1	2	1	2	1	3	1	2	1	2	1	1	2	1	2	2	1	3	1	2	2	2	4	2
(null)	OG0003892	0	1	1	2	2	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1
(null)	OG0003893	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0003894	0	4	0	6	2	0	0	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0
(null)	OG0003895	2	3	1	3	1	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
(null)	OG0003896	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0003897	3	1	5	0	1	3	3	3	1	0	4	5	3	4	3	3	3	3	1	3	3	3	2	3	1	3	3	2	3	3	3	2	2	2	2	3	3	0	8	2	3	3	3	5	3
(null)	OG0003898	2	0	2	0	1	2	2	2	0	0	4	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	3	2	2	2	0	1	0	2	2	2	4	2
